Capability,Kind,Requirement,RequirementID,Statement,Rationale,MatchedVia,MatchedObject,MatchedID
Communications Management,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Crisis Response Coordination,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Emergency Response Service Delivery,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Enable local communications,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Generate renewable energy,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Monitor environment,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Power Supply Management,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Provide Backup Power,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Lightweight Design,e5d434b3-c43a-4f79-8148-d2c085f9d265,The system shall be lightweight and man-portable.,For easy transport and deployment by personnel.,Function,Provide Situational Awareness,c19d4576-93a1-45ad-8f03-de36a56f0ea3
Situational Awareness,Capability,Lightweight Design,e5d434b3-c43a-4f79-8148-d2c085f9d265,The system shall be lightweight and man-portable.,For easy transport and deployment by personnel.,FunctionalChain,Provide Situational Awareness,c19d4576-93a1-45ad-8f03-de36a56f0ea3
Situational Awareness,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Situational Awareness,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Support national/regional communcation,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Water Management,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
